group_ID,group
1,MANO-D
2,23rd of September Communist League
3,Unknown
4,Black Nationalists
5,Tupamaros (Uruguay)
6,New Year's Gang
7,"Weather Underground, Weathermen"
8,Left-Wing Militants
9,Armed Commandos of Liberation
10,Commune 1
11,Eritrean Liberation Front
12,Strikers
13,Student Radicals
14,White extremists
15,Armed Forces of National Liberation- Venezuela (FALN)
16,New People's Army (NPA)
17,Armed Revolutionary Independence Movement (MIRA)
18,Popular Front for the Liberation of Palestine (PFLP)
19,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)"
20,1st of May Group
21,Rebel Armed Forces of Guatemala (FAR)
22,Ku Klux Klan
23,Popular Revolutionary Vanguard (VPR)
24,Revolutionary Force 9
25,Puerto Rican Nationalists
26,Chicano Liberation Front
27,Puerto Rican Resistance Movement
28,Black Panthers
29,Dominican Popular Movement (MPD)
30,Argentine Liberation Front (FAL)
31,Argentine National Organization Movement (MANO)
32,Japanese Red Army (JRA)
33,Saor Eire (Irish Republican Group)
34,New World Liberation Front (NWLF)
35,Cuban Exiles
36,The World United Formosans for Independence (WUFI)
37,Palestinians
38,Extraparliamentary Opposition (APO)
39,Revolutionary Force 26
40,Black Afro Militant Movement
41,Stop the War Coalition
42,Cuban Action
43,Jewish Defense League (JDL)
44,Right-wing extremists
45,Montoneros (Argentina)
46,Kabataang Makabayan (KM)
47,Irish Republican Army (IRA)
48,Ulster Volunteer Force (UVF)
49,National Committee to Combat Fascism
50,Revolutionary Force Seven
51,Seattle Liberation Front
52,Ejercito de Liberacion Nacional (Bolivia)
53,Arabs
54,Sandinista National Liberation Front (FSLN)
55,American Servicemen's Union (ASU)
56,GAC
57,Revolutionary Armed Forces- Argentina (FAR-A)
58,South Moluccans
59,Croatian Nationalists
60,SFT
61,Jonathan Jackson Brigade
62,Peronist Armed Forces (FAP)
63,White Panther Party
64,Revolutionary Action Party
65,Turkish People's Liberation Army
66,Ejercito Revolucionaria del Pueblo (ERP) (Argentina)
67,Palestine Liberation Organization (PLO)
68,Welsh Extremists
69,Protestant extremists
70,Siah KAL
71,Turkish People's Liberation Front (TPLF)(THKP-C)
72,Neo-Nazi extremists
73,Front de Liberation du Quebec (FLQ)
74,Quartermoon Society
75,Students for a Democratic Society (SDS) (German)
76,Iranians
77,Black Liberation Army
78,Baader-Meinhof Group
79,Basque Fatherland and Freedom (ETA)
80,Irish Republican Extremists
81,Socialist Patients' Collective (SPK)
82,Revolutionary Committee of Mozambique (COREMO)
83,Tony El Pelou Band
84,BAY Bombers
85,Movement of the Revolutionary Left (MIR) (Venezuela)
86,Official Irish Republican Army (OIRA)
87,Catalan Liberation Front (FAC)
88,Black Cells
89,Secret Cuban Government
90,Students
91,RYF
92,Black Revolutionary Assault Team
93,Left-wing extremists
94,People's Revolutionary Party
95,Chicano Radicals
96,Students for a Democratic Society
97,Regulators
98,Revolutionary Communist League (LCR) (Spain)
99,Black September
100,Al-Fatah
101,Anti-Communist extremists
102,Iranian extremists
103,Sons of Liberty
104,Puerto Rican Liberation Front
105,2nd of June Movement
106,Jewish Armed Resistance
107,Comrades in Arms
108,Secret Army Organization
109,Red Hand Commandos
110,People's Liberation Army (United States)
111,Jordanian National Liberation Movement
112,Ulster Freedom Fighters (UFF)
113,Young Cuba
114,Turkish Leftists
115,Comite Argentino de Lucha Anti-Imperialisto
116,Mujahedin-e Khalq (MEK)
117,Red Flag (Venezuela)
118,National Front for the Liberation of Cuba (FLNC)
119,OPR-33
120,Puerto Rican Revolutionary Movement
121,Popular Revolutionary Resistance Group
122,"Masada, Action and Defense Movement"
123,Iberian Liberation Movement (MIL)
124,National Liberation Army of Colombia (ELN)
125,National Integration Front (FIN)
126,"Resistance, Liberation and Independence Organization (AAA)"
127,Republic of New Afrika
128,Red June of 14 June
129,Popular Liberation Army (EPL)
130,Black Muslims
131,Coalition of National Brigades
132,Armenians
133,International Revolutionary Action Group (GARI)
134,Black December
135,American Indian Movement
136,Greek Anti-Dictatorial Youth (EAN)
137,Front for Armenian Liberation
138,Shan Insurgents
139,National Youth Resistance Organization
140,Revolutionary Patriotic Anti-Fascist Front (FRAP)
141,Revolutionary Student Front
142,Zero Point
143,Armed Proletarian Nuclei (NAP)
144,Red Cell
145,Proletarian Action Group
146,Lebanese Socialist Revolutionary Organization
147,Zebra killers
148,Armenian Group
149,Symbionese Liberation Army (SLA)
150,Revolutionary Cells
151,Revolutionary Peoples Army
152,Red Brigades
153,Muslim Guerrillas
154,Breton Liberation Front (FLB)
155,People's Resistance Organized Army
156,Americans for Justice
157,People's Liberation Army (Mexico)
158,Corsican National Liberation Front (FLNC)
159,Secret Organization Zero
160,Justice Guerrillas
161,National Liberation Front of Chad
162,RVA
163,People's Revolutionary Army (ERP) (El Salvador)
164,Democratic Front for the Liberation of Palestine (DFLP)
165,Black Order
166,Revolutionary Arab Youth Organization
167,Organization of the Sons of Occupied Territories
168,Krause Group
169,Popular Resistance Sabotage Group
170,Jewish Extremists
171,Fuerzas Armadas de Liberacion Nacional (FALN)
172,Anti-Government extremists
173,M-7
174,Arab Communist Organization
175,Korean Youth League
176,Condor
177,M12J
178,Argentine Anticommunist Alliance (AAA)
179,Protestant Action Group
180,Red Flag
181,Cuban C-4 Movement
182,United Popular Liberation Army of America
183,Maruseido (Marxist Youth League)
184,Revolutionary Vanguard
185,Latin America Anti-Communist Army (LAACA)
186,Youth Action Group
187,Raul Sendic International Brigade
188,First of October Antifascist Resistance Group (GRAPO)
189,Ananda Marga
190,Armenian Secret Army for the Liberation of Armenia
191,Maskini Liberation Front
192,Omega-7
193,Continental Revolutionary Army
194,National Socialist Liberation Front
195,International Revolutionary Solidarity
196,Prisoner  Gourgen Yanikian Group
197,National Awami Party
198,New Order- France
199,Movement for Cuban Justice (Pragmatistas)
200,Irish National Liberation Army (INLA)
201,East Asia Anti Japanese Armed Front
202,National Organization of Cypriot Fighters (EOKA)
203,Canary Islands Independence Movement
204,Revolutionary Armed Forces of Colombia (FARC)
205,Sixth of March Group
206,Mahir Cayan Suicide Group
207,Front for the Liberation of the French Somali Coast
208,Red Guerilla Family
209,Charles Martel Group
210,Phalange
211,People's Liberation Army (Northern Ireland)
212,Meinhof-Puig-Antich Group
213,The Scorpion
214,People's Revolutionary Party (Tanzania)
215,Nationalist Intervention Group
216,George Jackson Brigade
217,Anti-Terrorism ETA (ATE)
218,Movement of the Revolutionary Left (MIR) (Peru)
219,Tribal Thumb
220,Okinawa Liberation League
221,Moro National Liberation Front (MNLF)
222,Liberation Tigers of Tamil Eelam (LTTE)
223,Fronte Paesanu Corsu di Liberazione (FPCL)
224,South-West Africa People's Organization (SWAPO)
225,Soldiers of the Algerian Opposition
